,Provider,city,date,offset,Air Temperature,Max Air Temp,Min Air Temp,Precipitation
0,openweathermap,berlin,2015-06-24 00:00:00,3,0.3,2.74,0.1,-4.08
0,openweathermap,berlin,2015-06-24 00:00:00,4,0.72,3.36,-0.55,-28.26
0,openweathermap,berlin,2015-06-24 00:00:00,5,-3.29,0.31,-1.21,-5.25
0,openweathermap,berlin,2015-06-24 00:00:00,6,-13.9,-10.3,-5.41,-9.4
0,weatherdotcom,berlin,2015-06-24 00:00:00,0,2.6,,,
0,weatherdotcom,berlin,2015-06-24 00:00:00,1,-2.4,,,
0,weatherdotcom,berlin,2015-06-24 00:00:00,2,-9.4,,,
0,weatherdotcom,berlin,2015-06-24 00:00:00,3,-9.4,,,
0,weatherdotcom,berlin,2015-06-24 00:00:00,4,-9.4,,,
0,weatherdotcom,berlin,2015-06-24 00:00:00,5,-8.4,,,
0,weatherdotcom,berlin,2015-06-24 00:00:00,6,-9.4,,,
0,accuweather,berlin,2015-06-25 00:00:00,0,,2.74444444444,-1.77777777778,-0.04
0,accuweather,berlin,2015-06-25 00:00:00,1,,7.18888888889,1.0,-0.03
0,accuweather,berlin,2015-06-25 00:00:00,2,,6.07777777778,-0.666666666667,-0.02
0,accuweather,berlin,2015-06-25 00:00:00,3,,5.52222222222,0.444444444444,-0.05
0,accuweather,berlin,2015-06-25 00:00:00,4,,6.07777777778,1.0,0.0
0,accuweather,berlin,2015-06-25 00:00:00,5,,3.85555555556,0.444444444444,0.0
0,accuweather,berlin,2015-06-25 00:00:00,6,,1.63333333333,-0.666666666667,0.0
0,openweathermap,berlin,2015-06-25 00:00:00,0,4.44,10.54,-1.04,0.0
0,openweathermap,berlin,2015-06-25 00:00:00,1,1.12,6.35,-0.48,-0.2
0,openweathermap,berlin,2015-06-25 00:00:00,2,1.93,7.62,0.21,-0.62
0,openweathermap,berlin,2015-06-25 00:00:00,3,1.74,7.72,2.2,0.0
0,openweathermap,berlin,2015-06-25 00:00:00,4,1.57,7.03,1.92,-1.85
0,openweathermap,berlin,2015-06-25 00:00:00,5,-1.64,3.93,0.38,-0.5
0,openweathermap,berlin,2015-06-25 00:00:00,6,-0.45,5.52,0.35,-1.55
0,weatherdotcom,berlin,2015-06-25 00:00:00,0,5.2,,,
0,weatherdotcom,berlin,2015-06-25 00:00:00,1,-5.8,,,
0,weatherdotcom,berlin,2015-06-25 00:00:00,2,-4.8,,,
0,weatherdotcom,berlin,2015-06-25 00:00:00,3,-4.8,,,
0,weatherdotcom,berlin,2015-06-25 00:00:00,4,-2.8,,,
0,weatherdotcom,berlin,2015-06-25 00:00:00,5,-4.8,,,
0,weatherdotcom,berlin,2015-06-25 00:00:00,6,-5.8,,,
0,accuweather,berlin,2015-06-26 00:00:00,0,,1.23333333333,-2.14444444444,-0.06
0,accuweather,berlin,2015-06-26 00:00:00,1,,2.34444444444,-0.477777777778,-0.02
0,accuweather,berlin,2015-06-26 00:00:00,2,,1.23333333333,-1.03333333333,-0.11
0,accuweather,berlin,2015-06-26 00:00:00,3,,5.67777777778,0.633333333333,-0.05
